"WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","WSEI_PRIMARY_CONTACT","WSEI_SECONDARY_CONTACT","WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_PRIMARY_VARIABLE","WSEI_CURRENT_WEATHER","WSEI_PREV_WEATHER","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","WSEI_COLLECTION_DATE","WSEI_USER_NOTES"
"41.572_-73.6075_20170715",41.572,-73.6075,NA,NA,0,0,0,0,9,1,0,"","sun","rain","a","b","c","c","a","a","b","b","c","b","a","b","a","7/15/2017",""
"41.578_-73.8017_20120909",41.578,-73.8017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/9/2012","no user preception"
"41.5815_-74.33_20130823",41.5815,-74.33,"b","f",1,1,1,0,2,1,0,"trash","sun","sun","a","a","b","a","b","a","a","b","a","a","a","a","a","8/23/2013",""
"41.5823_-74.5688_20130816",41.5823,-74.5688,"c","b",1,1,3,0,0,0,0,"periphyton","sun","sun","a","b","b","a","a","a","b","a","a","a","a","a","a","8/16/2013",""
"41.5846_-74.0786_20130724",41.5846,-74.0786,"a","a",1,1,2,1,1,1,0,"","sun","rain","a","a","b","a","a","b","a","a","a","a","a","a","a","7/24/2013",""
"41.5846_-74.0786_20130725",41.5846,-74.0786,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/25/2013",""
"41.585_-73.5998_20170716",41.585,-73.5998,NA,NA,0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","7/16/2017",""
"41.5852_-73.5995_20160711",41.5852,-73.5995,NA,NA,0,0,4,2,0,0,0,"","clouds","rain","a","a","b","b","a","a","a","a","a","a","a","b","b","7/11/2016",""
"41.5878_-73.7897_20120914",41.5878,-73.7897,"a","a",1,1,4,0,0,1,1,"","sun","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/14/2012","periphyton"
"41.589_-73.5837_20170716",41.589,-73.5837,NA,NA,0,0,0,0,0,0,0,"","sun","sun","a","a","a","b","a","a","a","b","b","a","a","a","b","7/16/2017",""
"41.5891_-73.5842_20140701",41.5891,-73.5842,"d","d",0,0,0,0,0,4,0,"trash","sun","sun","a","b","b","b","b","b","a","b","b","a","b","a","b","7/1/2014",""
"41.5931_-73.9259_20150702",41.5931,-73.9259,"b","b",6,1,1,0,0,7,1,"trash","sun","rain","b","a","a","a","a","c","a","a","a","a","a","a","a","7/2/2015",""
"41.5972_-74.4861_20150920",41.5972,-74.4861,NA,NA,0,0,1,1,1,0,1,"","sun","sun","a","a","b","a","b","a","a","a","a","a","a","a","a","9/20/2015",""
"41.6033_-74.0795_20130807",41.6033,-74.0795,"a","a",0,0,0,0,0,1,0,"","clouds","sun","a","a","a","a","b","b","a","a","b","b","b","a","a","8/7/2013",""
"41.6036_-74.3273_20160727",41.6036,-74.3273,"a","a",0,0,0,0,3,0,0,"odor, discharge pipes","sun","sun","a","b","a","b","b","a","a","a","a","a","a","a","a","7/27/2016","dead animal"
"41.6066_-74.0744_20130807",41.6066,-74.0744,"a","a",2,1,1,1,2,5,5,"","sun","sun","a","b","b","a","a","a","b","b","b","a","a","b","a","8/7/2013",""
"41.6068_-74.0744_20170920",41.6068,-74.0744,"c","c",2,1,4,0,1,0,0,"",NA,NA,"a","b","b","b","b","b","a","a","a","b","a","b","a","9/20/2017",""
"41.6105_-73.7468_20130804",41.6105,-73.7468,"a","a",0,0,1,0,0,3,0,"","sun","sun","a","b","b","a","a","a","a","a","a","b","b","b","b","8/4/2013",""
"41.6172_-73.8238_20150901",41.6172,-73.8238,"b","b",1,1,10,1,1,2,1,"periphyton","sun","sun","a","a","a","b","b","a","a","a","a","a","a","a","b","9/1/2015",""
"41.6206_-73.6538_20130725",41.6206,-73.6538,"b","b",0,0,2,0,0,1,0,"","clouds","clouds","c","a","b","a","b","b","a","b","b","a","a","b","b","7/25/2013",""
"41.625_-73.9425_20130719",41.625,-73.9425,"c","c",4,1,1,0,1,1,0,"","sun","sun","b","b","b","b","a","a","b","b","b","b","b","b","b","7/19/2013","slightly hard to reach"
"41.6268_-74.8159_20170910",41.6268,-74.8159,"b","b",2,1,1,0,0,0,0,"",NA,NA,"a","a","b","a","a","a","a","a","a","a","a","a","a","9/10/2017",""
"41.6332_-74.7759_20170710",41.6332,-74.7759,"a","a",1,0,1,1,0,0,0,"","sun","sun","a","a","a","b","a","a","a","a","a","a","a","c","a","7/10/2017",""
"41.6398_-74.4471_20160714",41.6398,-74.4471,NA,NA,0,0,3,0,0,0,0,"",NA,NA,"a","a","b","b","b","b","a","b","b","b","b","c","c","7/14/2016","usually dries up by august"
"41.6444_-74.4425_20130720",41.6444,-74.4425,"b","a",0,0,0,0,0,0,0,"","clouds","sun","a","a","a","a","a","b","a","a","a","a","a","a","a","7/20/2013",""
"41.6475_-73.5934_20190929",41.6475,-73.5934,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/29/2019",""
"41.6484_-74.2641_20160727",41.6484,-74.2641,"b","a",1,0,0,0,0,2,4,"trash, discharge pipes","sun","sun","a","b","b","b","b","a","b","b","b","b","b","a","c","7/27/2016","bank erosion"
"41.6557_-73.5373_20140701",41.6557,-73.5373,"b","b",0,0,0,0,0,2,0,"trash","sun","sun","a","a","a","a","a","a","a","a","a","a","b","a","c","7/1/2014",""
"41.6559_-73.5355_20160803",41.6559,-73.5355,"a","a",0,0,0,0,0,1,0,"trash","sun","clouds","b","a","a","a","a","a","a","a","a","a","b","a","b","8/3/2016",""
"41.6597_-74.8076_20170717",41.6597,-74.8076,"c","b",1,3,1,0,0,0,0,"","clouds","sun","b","a","b","a","a","c","a","a","a","a","a","c","c","7/17/2017","foam accumulation"
"41.6648_-74.8139_20170703",41.6648,-74.8139,"a","a",1,1,1,2,0,1,0,"","sun","clouds","a","b","a","a","a","a","a","a","a","a","a","c","a","7/3/2017",""
"41.6652_-74.4794_20130720",41.6652,-74.4794,"b","a",0,0,0,0,0,1,0,"trash","clouds","sun","a","a","a","a","b","a","a","a","b","a","a","a","a","7/20/2013",""
"41.6652_-74.4794_20130725",41.6652,-74.4794,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/25/2013",""
"41.676_-74.2626_20130822",41.676,-74.2626,"a","a",0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","8/22/2013",""
"41.682_-73.8927_20160809",41.682,-73.8927,NA,NA,6,0,0,0,0,3,4,"trash, discharge pipes","sun","sun","a","a","b","b","b","b","b","b","c","a","a","a","a","8/9/2016",""
"41.6838_-73.8664_20130824",41.6838,-73.8664,"c","b",1,0,5,0,1,0,0,"","sun","sun","c","a","b","a","b","c","a","a","a","b","b","b","b","8/24/2013","construction plates"
"41.6864_-74.1648_20160811",41.6864,-74.1648,"d","b",1,1,7,6,1,0,0,"periphyton, macrophytes,",NA,NA,"a","b","a","b","b","a","a","a","a","a","a","c","c","8/11/2016","dot, elevated bacteria"
"41.6875_-74.1732_20160811",41.6875,-74.1732,"b","b",1,0,3,0,0,1,1,"periphyton, macrophytes,","sun","sun","a","a","a","a","b","a","a","a","a","a","a","b","b","8/11/2016","silt, turbidity, and bubbles upstream"
"41.6963_-74.1011_20120831",41.6963,-74.1011,"c",NA,0,1,1,1,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/31/2012","slight amount of foam"
"41.6963_-74.1011_20120920",41.6963,-74.1011,"f","f",3,0,0,0,0,0,0,"","sun","rain, clouds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/20/2012",""
"41.6963_-74.1011_20120923",41.6963,-74.1011,"c","b",3,1,3,0,0,0,0,"","sun","rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/23/2012","water clarity, periphyton"
"41.6989_-73.866_20130824",41.6989,-73.866,"b","b",1,0,0,3,1,1,0,"trash","sun","sun","c","a","b","a","b","a","a","b","c","b","a","b","a","8/24/2013",""
"41.7011_-73.8886_20140917",41.7011,-73.8886,NA,NA,1,2,9,5,1,4,1,"macrophytes, trash","sun",NA,"b","b","b","b","b","c","b","b","b","b","b","c","b","9/17/2014",""
"41.7071_-73.9239_20160809",41.7071,-73.9239,"e","e",7,0,7,3,1,8,4,"trash","sun","sun","c","c","b","b","b","c","c","a","a","c","c","c","c","8/9/2016",""
"41.7087_-73.9334_20160809",41.7087,-73.9334,"e","d",5,0,2,0,0,8,5,"trash, discharge pipes","sun","sun","b","b","a","b","b","c","a","a","a","c","c","c","c","8/9/2016",""
"41.7091_-73.9388_20140910",41.7091,-73.9388,NA,NA,1,1,7,5,1,5,1,"trash","sun","sun","b","a","b","a","b","b","a","b","b","b","b","c","c","9/10/2014",""
"41.7172_-74.0124_20130823",41.7172,-74.0124,"b","b",1,3,2,5,1,0,0,"","sun","sun","a","a","a","b","a","b","a","b","a","b","b","c","b","8/23/2013",""
"41.72_-74.3917_20130727",41.72,-74.3917,"b","b",0,0,0,0,0,5,0,"","sun","clouds","c","a","b","a","a","c","b","a","a","a","a","b","b","7/27/2013",""
"41.7202_-73.9566_20160701",41.7202,-73.9566,NA,NA,2,3,0,0,3,2,5,"","sun","rain","b","a","a","a","a","b","a","b","b","b","b","b","b","7/1/2016",""
"41.7244_-74.4581_20160828",41.7244,-74.4581,"a","a",1,0,3,1,0,1,0,"","sun","sun","a","a","a","a","b","a","a","a","a","a","a","a","b","8/28/2016",""
"41.7253_-74.1047_20120917",41.7253,-74.1047,"a","f",0,0,2,0,0,0,0,"","sun","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/17/2012",""
"41.7277_-73.5862_20140923",41.7277,-73.5862,"a","a",0,0,1,0,0,3,0,"","sun","sun","a","a","a","b","b","a","a","a","a","a","a","a","a","9/23/2014",""
"41.7278_-73.5848_20160803",41.7278,-73.5848,NA,NA,0,0,0,0,0,0,0,"",NA,NA,"a","a","b","a","a","a","a","a","a","a","a","a","a","8/3/2016",""
"41.7295_-73.9717_20160702",41.7295,-73.9717,NA,NA,0,0,1,0,0,2,0,"","sun","rain","a","a","b","a","a","a","a","a","a","a","a","b","b","7/2/2016",""
"41.7346_-73.5806_20140919",41.7346,-73.5806,"c","c",0,2,3,0,2,5,5,"periphyton, trash, discharges/pipes","sun","sun","c","b","b","c","b","b","b","c","a","c","c","c","c","9/19/2014",""
"41.7351_-73.576_20160727",41.7351,-73.576,"c","b",2,0,8,1,1,2,0,"periphyton","sun","sun","b","b","b","b","b","a","a","a","a","b","b","c","c","7/27/2016",""
"41.7352_-74.2344_20170822",41.7352,-74.2344,"b","f",7,2,NA,NA,0,0,0,"water clarity","sun","sun","b","b","b","a","b","a","a","b","b","a","a","b","b","8/22/2017",""
"41.7367_-73.5711_20160721",41.7367,-73.5711,"b","a",1,0,1,0,0,0,0,"","sun","sun","b","a","b","a","b","a","a","a","a","a","a","b","a","7/21/2016",""
"41.7368_-73.5714_20160721",41.7368,-73.5714,"b","b",2,0,7,2,0,0,0,"periphyton","sun","sun","a","b","b","b","a","a","a","a","a","a","a","b","b","7/21/2016",""
"41.738_-74.3767_20130811",41.738,-74.3767,"b","b",0,0,0,0,0,4,0,"trash","sun","sun","a","b","b","a","b","b","b","a","b","b","b","c","a","8/11/2013",""
"41.7394_-73.5849_20140919",41.7394,-73.5849,"a","a",0,0,1,0,0,1,0,"","sun","sun","a","a","a","a","a","a","a","a","a","b","a","b","a","9/19/2014",""
"41.7399_-74.6642_20160926",41.7399,-74.6642,"c","c",3,1,4,2,0,0,0,"low water","sun","sun","a","b","c","b","c","a","a","a","a","a","a","a","a","9/26/2016",""
"41.74_-74.6642_20170915",41.74,-74.6642,"d","d",3,2,10,4,0,0,0,"","clouds","rain","a","a","b","a","a","a","a","a","a","a","a","a","a","9/15/2017","depth"
"41.7409_-73.8274_20140917",41.7409,-73.8274,NA,NA,1,1,5,2,1,2,0,"",NA,NA,"a","a","a","a","b","a","a","a","b","b","b","b","a","9/17/2014",""
"41.7542_-74.073_20160920",41.7542,-74.073,"d","b",2,1,1,1,3,1,5,"odor, discharge pipes",NA,NA,"a","b","b","b","c","b","c","a","a","a","a","a","a","9/20/2016","low flow"
"41.7572_-74.3574_20160707",41.7572,-74.3574,"a","a",0,0,0,0,0,1,0,"periphyton","clouds","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/7/2016",""
"41.7622_-73.8996_20120924",41.7622,-73.8996,"d","c",2,4,4,3,0,1,0,"","sun, clouds","sun, clouds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/24/2012","periphyton"
"41.7631_-74.3332_20150925",41.7631,-74.3332,"b","a",1,0,4,0,1,2,0,"","sun","sun","a","b","a","b","a","a","a","a","b","a","a","a","a","9/25/2015",""
"41.7646_-74.9414_20130820",41.7646,-74.9414,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/20/2013",""
"41.7701_-74.3112_20150920",41.7701,-74.3112,"a","a",0,0,7,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","9/20/2015",""
"41.7736_-74.2961_20140928",41.7736,-74.2961,"b","b",0,3,0,0,0,3,0,"trash","sun","sun","b","a","b","b","a","a","a","a","a","a","a","b","a","9/28/2014",""
"41.7744_-74.1737_20160820",41.7744,-74.1737,"a","a",0,0,4,0,0,0,0,"","sun","sun","a","b","b","a","b","a","a","a","b","a","a","a","a","8/20/2016",""
"41.7749_-74.0975_20130814",41.7749,-74.0975,"d","c",7,2,1,0,0,0,0,"water clarity","sun","rain","a","b","a","b","a","a","b","b","a","a","a","a","a","8/14/2013",""
"41.7758_-74.3216_20130822",41.7758,-74.3216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/2013",""
"41.7782_-74.2247_20150920",41.7782,-74.2247,"a","a",0,0,0,0,0,0,0,"","sun","sun","a","a","b","a","b","b","a","b","a","b","b","b","a","9/20/2015",""
"41.7869_-73.9231_20160911",41.7869,-73.9231,NA,NA,0,0,3,0,0,1,0,"","sun","clouds","a","a","a","b","b","a","a","a","a","a","a","a","a","9/11/2016",""
"41.7877_-73.9229_20180720",41.7877,-73.9229,NA,NA,0,3,1,0,0,0,0,"phytoplankton","sun","sun","a","a","a","c","b","a","a","a","a","a","a","b","b","7/20/2018",""
"41.7925_-73.7262_20120702",41.7925,-73.7262,"b","a",0,0,0,0,0,2,0,"","sun","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/2/2012","some glass"
"41.7943_-74.1797_20150920",41.7943,-74.1797,NA,NA,2,0,9,0,0,0,0,"","sun","sun","a","a","a","a","b","a","a","b","a","b","a","b","a","9/20/2015",""
"41.797_-74.247_20120915",41.797,-74.247,"b","b",0,2,0,0,0,3,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/15/2012","trash, campsites too close to stream, eroded banks, no trees"
"41.7986_-74.2126_20171103",41.7986,-74.2126,"b","b",1,1,1,1,0,2,5,"discharge/pipes","clouds","sun","b","a","a","a","a","b","a","a","a","a","a","a","a","11/3/2017",""
"41.8101_-74.3741_20160707",41.8101,-74.3741,"a","a",0,0,1,0,0,0,0,"periphyton","clouds","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/7/2016",""
"41.814_-73.5588_20150702",41.814,-73.5588,"a","a",0,1,3,1,0,0,0,"periphyton","sun","sun","c","a","b","b","a","a","b","a","a","a","a","a","a","7/2/2015",""
"41.8212_-73.9625_20170831",41.8212,-73.9625,"b","a",1,0,1,0,0,1,0,"","clouds","sun","a","a","b","a","b","a","a","a","b","a","a","a","b","8/31/2017",""
"41.8278_-73.5655_20150706",41.8278,-73.5655,"c","a",1,0,0,0,0,1,0,"","sun","sun","b","a","b","a","a","a","a","b","a","a","a","c","a","7/6/2015",""
"41.8323_-74.0317_20160712",41.8323,-74.0317,"a","a",2,0,7,0,0,0,0,"periphyton","sun","sun","a","b","a","b","b","a","a","a","a","a","a","a","a","7/12/2016",""
"41.8352_-73.566_20150708",41.8352,-73.566,"c","c",1,0,2,0,0,1,0,"","sun","rain","a","a","b","b","a","a","b","a","b","b","a","a","a","7/8/2015",""
"41.8364_-73.5666_20150708",41.8364,-73.5666,"e","d",0,0,6,1,0,0,1,"","sun","rain","a","a","b","a","a","a","a","a","a","a","b","a","b","7/8/2015","nearby golf course; next to road; uncertain soil composition"
"41.8422_-73.5613_20150707",41.8422,-73.5613,"d","b",4,0,2,3,1,0,0,"water clarity","sun","sun","b","c","b","b","a","a","c","b","b","a","b","a","a","7/7/2015","sediment texture"
"41.8428_-74.0858_20150920",41.8428,-74.0858,"b","b",2,0,2,1,0,0,0,"","sun","sun","b","a","a","b","a","c","a","a","a","a","c","a","a","9/20/2015",""
"41.8441_-73.5631_20150706",41.8441,-73.5631,"d","b",0,0,3,1,0,1,0,"periphyton","sun","sun","a","a","b","b","b","a","a","b","c","a","b","a","b","7/6/2015",""
"41.8445_-74.0763_20160926",41.8445,-74.0763,"f","f",1,0,10,0,0,0,1,"periphyton","sun","sun","c","a","b","a","b","c","a","a","a","c","c","b","b","9/26/2016","low water level"
"41.8445_-74.0763_20170907",41.8445,-74.0763,"d","c",1,1,3,7,0,0,1,"periphyton, macrophytes","sun","rain","b","a","b","b","a","c","a","a","a","c","b","c","b","9/7/2017",""
"41.8445_-74.0763_20190930",41.8445,-74.0763,"d","c",1,0,8,0,0,0,1,"periphyton","clouds","rain","c","b","b","a","b","c","a","a","a","c","c","b","c","9/30/2019",""
"41.8535_-73.8764_20190731",41.8535,-73.8764,NA,NA,1,0,0,0,0,1,3,"discarges/pipes","clouds","sun","a","a","b","b","a","b","b","b","b","b","a","b","c","7/31/2019",""
"41.8566_-73.5145_20140730",41.8566,-73.5145,"a","a",3,0,2,1,0,0,1,"","sun","sun","a","b","a","a","a","a","a","a","a","a",NA,"a","a","7/30/2014",""
"41.8571_-73.8854_20180720",41.8571,-73.8854,"c","b",0,3,1,0,0,0,0,"phytoplankton","sun","sun","a","a","a","c","b","a","a","a","a","a","a","b","b","7/20/2018",""
"41.8667_-73.556_20150707",41.8667,-73.556,"a","a",0,0,1,0,0,0,0,"","sun","rain","b","b","a","a","a","a","a","a","a","a","a","b","c","7/7/2015","nearby road crossing"
"41.8677_-73.5019_20140708",41.8677,-73.5019,"e","d",9,0,8,0,0,2,0,"water clarity","clouds","rain","b","c","b","c","a","a","b","a","b","a","b","c","c","7/8/2014","farmland surrounding stream"
"41.882_-73.927_20190731",41.882,-73.927,"f","e",8,0,0,0,0,0,3,"eroded banks, thick silt deposits","clouds","sun","a","c","c","c","b","b","c","c","c","a","a","b","b","7/31/2019",""
"41.8834_-74.1586_20120822",41.8834,-74.1586,"f","f",5,1,4,0,0,0,0,"","clouds","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/2012","often silty"
"41.9034_-74.1628_20130723",41.9034,-74.1628,"e","c",5,3,3,3,0,2,0,"","sun","sun","b","a","a","b","b","a","a","c","a","b","a","a","a","7/23/2013","very shallow"
"41.9035_-74.1635_20130730",41.9035,-74.1635,"e","c",1,1,3,0,0,0,0,"","sun","sun","a","a","b","a","b","a","a","b","b","a","a","a","a","7/30/2013","shallow (fishing good)"
"41.9036_-74.8127_20180923",41.9036,-74.8127,NA,NA,1,1,1,1,0,0,0,"","clouds","clouds","a","a","b","a","a","a","a","a","a","a","a","b","a","9/23/2018",""
"41.9105_-74.0058_20170921",41.9105,-74.0058,NA,NA,3,3,2,4,0,1,0,"","sun","clouds","b","a","b","a","a","b","a","b","a","a","b","b","c","9/21/2017",""
"41.9283_-73.8946_20160930",41.9283,-73.8946,"c","b",9,5,9,4,5,1,3,"periphyton","rain","clouds","a","b","b","b","a","a","a","b","a","c","a","b","a","9/30/2016",""
"41.9435_-73.6023_20160820",41.9435,-73.6023,NA,NA,0,0,0,0,0,0,0,"",NA,NA,"a","a","a","a","b","a","a","a","a","a","a","a","a","8/20/2016",""
"41.9485_-73.5109_20140708",41.9485,-73.5109,"c","b",4,0,0,0,0,3,0,"water clarity, trash",NA,NA,"a","a","a","a","a","a","a","a","a","a","a","b","a","7/8/2014",""
"41.979_-73.9629_20130814",41.979,-73.9629,"c","b",7,1,4,0,0,0,0,"water clarity","sun","rain","a","b","b","a","a","b","a","a","a","a","a","a","b","8/14/2013",""
"41.9841_-73.9139_20120707",41.9841,-73.9139,"f","f",2,NA,1,1,1,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/7/2012",""
"42.0011_-76.558_20150915",42.0011,-76.558,"b","a",2,4,6,1,0,1,0,"","sun","sun","b","b","b","b","a","a","b","a","a","a","a","a","a","9/15/2015",""
"42.0066_-78.7756_20140712",42.0066,-78.7756,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/12/2014",""
"42.0114_-75.7892_20170928",42.0114,-75.7892,NA,NA,4,2,2,1,3,0,0,"","clouds","clouds","b","b","a","b","b","a","a","a","b","b","b","b","b","9/28/2017","cows"
"42.0162_-75.1329_20130914",42.0162,-75.1329,"a","a",0,0,0,0,0,0,0,"","clouds","rain","b","a","b","a","a","c","a","a","a","a","a","b","b","9/14/2013",""
"42.0175_-76.7231_20170815",42.0175,-76.7231,NA,NA,1,0,2,2,0,2,0,"",NA,NA,"b","a","c","b","a","b","c","a","b","a","a","c","a","8/15/2017",""
"42.0185_-73.9777_20130814",42.0185,-73.9777,"d","c",6,1,2,0,0,6,0,"water clarity, trash","sun","rain","a","b","a","b","b","c","a","b","a","b","a","c","a","8/14/2013",""
"42.0195_-74.2675_20120907",42.0195,-74.2675,"c","b",1,1,4,0,0,0,0,"","clouds","clouds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/7/2012","water clarity, phytoplankton, periphyton"
"42.0195_-74.2675_20120914",42.0195,-74.2675,"b","a",0,1,1,0,0,0,0,"","sun","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/14/2012","phytoplankton, periphyton"
"42.0251_-76.6226_20171003",42.0251,-76.6226,NA,NA,0,1,2,0,0,0,0,"",NA,NA,"a","a","a","a","b","a","a","a","a","a","a","a","a","10/3/2017",""
"42.0265_-76.524_20150914",42.0265,-76.524,"b","a",1,5,2,2,2,0,0,"","sun","sun","b","b","b","b","a","a","b","a","a","b","b","a","b","9/14/2015",""
"42.0269_-79.2861_20150906",42.0269,-79.2861,"d","c",4,4,8,5,1,2,3,"periphyton, macrophytes","sun","sun","b","c","b","b","b","b","b","c","c","b","b","a","b","9/6/2015",""
"42.0274_-75.7995_20170928",42.0274,-75.7995,NA,NA,5,4,5,3,2,1,0,"","clouds","clouds","a","b","c","b","c","b","a","b","a","a","a","b","b","9/28/2017",""
"42.0292_-77.933_20130817",42.0292,-77.933,"e","f",2,3,4,8,1,1,0,"","sun","sun","b","b","b","b","c","a","c","a","a","a","a","a","a","8/17/2013","low water"
"42.0299_-75.805_20160720",42.0299,-75.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/20/2016",""
"42.031_-74.3702_20170911",42.031,-74.3702,"a","a",0,0,1,2,0,0,0,"","sun","sun","a","a","a","a","a","a","a","b","a","a","a","a","a","9/11/2017",""
"42.0336_-74.368_20170911",42.0336,-74.368,"a","a",0,0,2,3,0,0,0,"","sun","sun","b","a","b","b","b","a","a","a","c","a","a","a","a","9/11/2017",""
"42.0414_-73.6437_20160918",42.0414,-73.6437,"a","a",0,1,1,NA,2,2,0,"periphyton","clouds","rain","a","b","b","b","a","a","b","a","a","b","b","b","b","9/18/2016",""
"42.045_-73.9131_20120702",42.045,-73.9131,"f","f",1,0,0,2,0,1,0,"","sun","sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7/2/2012",""
"42.0493_-77.9299_20130814",42.0493,-77.9299,"f","d",3,1,2,2,2,1,0,"periphyton, odor","clouds","clouds","a","b","c","b","b","a","b","a","a","a","a","a","b","8/14/2013",""
"42.0588_-76.7358_20180717",42.0588,-76.7358,"f","f",4,0,0,0,0,0,0,"","clouds","rain","b","a","a","b","b","b","b","a","b","a","a","b","a","7/17/2018","too shallow"
"42.0589_-76.7358_20171003",42.0589,-76.7358,NA,NA,0,0,1,0,0,0,0,"","sun","sun","a","a","a","a","b","a","a","a","a","a","a","a","a","10/3/2017",""
"42.0592_-73.5997_20160918",42.0592,-73.5997,"a","a",0,0,0,0,0,0,0,"","clouds","rain","a","a","a","a","a","a","a","a","a","a","b","a","b","9/18/2016",""
"42.0621_-74.1574_20160922",42.0621,-74.1574,NA,NA,5,1,1,1,0,0,0,"","sun","rain","c","c","b","b","b","a","a","a","a","c","c","a","a","9/22/2016","shallow"
"42.0625_-74.8442_20130817",42.0625,-74.8442,"a","f",0,0,0,0,0,0,0,"","sun","sun","a","b","a","a","a","a","b","b","b","a","a","a","a","8/17/2013","creek at this location only suitable for fishing and wading"
"42.0673_-74.1601_20160925",42.0673,-74.1601,"a","a",0,NA,NA,NA,0,0,3,"","sun","sun","b","a","a","b","b","b","a","a","a","a","a","b","b","9/25/2016",""
"42.0714_-76.7754_20160713",42.0714,-76.7754,"d","c",5,6,7,4,3,3,5,"periphyton, phytoplankton","sun","sun","b","c","b","b",NA,NA,"c","b","b","a","a","a","a","7/13/2016",""
"42.0745_-76.9403_20180717",42.0745,-76.9403,"f","f",2,0,0,0,0,0,1,"","clouds","rain","a","a","a","a","a","a","a","a","a","a","a","a","a","7/17/2018",""
"42.0754_-74.1257_20150926",42.0754,-74.1257,"f","f",1,0,0,0,0,0,3,"depth","sun","sun","a","a","b","a","a","a","a","a","a","a","a","a","a","9/26/2015",""
"42.0755_-75.622_20160927",42.0755,-75.622,NA,NA,0,0,0,0,0,0,0,"","sun","rain","a","a","a","a","c","b","c","c","c","a","a","a","a","9/27/2016",""
"42.0781_-74.336_20120816",42.0781,-74.336,NA,NA,2,4,6,3,0,1,1,"","sun","rain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/16/2012","periphyton"
