stationID,Lat,Lon,Stream Name,Assessment,Individual Sample Results,site_id
41.2_-74.027,41.2,-74.027,Minisceongo Creek,No Conclusion,07/26/2022:No Conclusion,-74.027_41.2
41.203_-73.969,41.203,-73.969,minisceongo creek ,No Conclusion,7/26/2017:No Conclusion,-73.969_41.203
41.203_-73.971,41.203,-73.971,Minisceongo Creek,No Conclusion,7/25/2019:No Conclusion,-73.971_41.203
41.203_-73.972,41.203,-73.972,Minisceongo Creek,No Conclusion,8/23/2018:No Conclusion,-73.972_41.203
41.204_-73.967,41.204,-73.967,Minisceongo Creek,No Conclusion,08/05/2015:No Conclusion,-73.967_41.204
41.204_-73.971,41.204,-73.971,Minisceongo,No Conclusion,7/11/2016:No Conclusion,-73.971_41.204
41.208_-73.726,41.208,-73.726,Branch Brook,No Conclusion,7/20/2016:No Conclusion,-73.726_41.208
41.223_-74.396,41.223,-74.396,"Wawayanda Creek, Lower, and tribs",No Known Impact,09/05/2012:No Known Impact,-74.396_41.223
41.225_-73.985,41.225,-73.985,Cedar Pond Brook,No Conclusion,8/25/2017:No Conclusion,-73.985_41.225
41.227_-73.984,41.227,-73.984,Cedar Pond Brook,No Conclusion,8/28/2019:No Conclusion,-73.984_41.227
41.227_-73.985,41.227,-73.985,Cedar Pond Brook,No Known Impact,"07/08/2015:No Known Impact
8/31/2018:No Conclusion",-73.985_41.227
41.25_-74.384,41.25,-74.384,Wawayanda Creek,No Conclusion,09/27/2012:No Conclusion,-74.384_41.25
41.252_-73.333,41.252,-73.333,Salmon's Daily Run (Gage Rd Br),No Conclusion,7/15/2017:No Conclusion,-73.333_41.252
41.252_-74.056,41.252,-74.056,Tiorati Brook,No Known Impact,8/4/2016:No Known Impact,-74.056_41.252
41.257_-73.589,41.257,-73.589,Upper Cross/Waccabuc River and tribs,No Conclusion,09/20/2012:No Conclusion,-73.589_41.257
41.257_-74.002,41.257,-74.002,Timp Brook,No Conclusion,7/26/2017:No Conclusion,-74.002_41.257
41.259_-73.577,41.259,-73.577,Cross River,No Known Impact,"09/24/2012:No Known Impact
09/29/2014:No Conclusion",-73.577_41.259
41.26_-73.602,41.26,-73.602,Cross River,No Known Impact,09/27/2012:No Known Impact,-73.602_41.26
41.262_-73.597,41.262,-73.597,Cross River,No Conclusion,9/28/2017:No Conclusion,-73.597_41.262
41.262_-73.844,41.262,-73.844,Hunter Brook,No Conclusion,7/29/2016:No Conclusion,-73.844_41.262
41.291_-73.373,41.291,-73.373,Trinity Brook Lawlor Bldg,No Conclusion,7/15/2017:No Conclusion,-73.373_41.291
41.294_-74.436,41.294,-74.436,Quaker Creek and tribs,Possibly Impaired,09/25/2013:Possibly Impaired,-74.436_41.294
41.3_-73.987,41.3,-73.987,Doodletown Brook,No Conclusion,9/18/2017:No Conclusion,-73.987_41.3
41.304_-73.365,41.304,-73.365,Mill Stream,No Conclusion,7/15/2017:No Conclusion,-73.365_41.304
41.315_-73.931,41.315,-73.931,Annsville Creek,No Conclusion,"09/17/2012:No Conclusion
08/07/2012:No Conclusion
09/25/2012:No Conclusion",-73.931_41.315
41.325_-73.74,41.325,-73.74,Minor Tribs to Amawalk Reservoir,Possibly Impaired,"08/07/2012:Possibly Impaired
07/25/2012:No Conclusion",-73.74_41.325
41.327_-73.582,41.327,-73.582,Titicus River,No Conclusion,"08/15/2014:No Conclusion
07/17/2015:No Conclusion
08/26/2012:No Conclusion
07/17/2013:No Conclusion",-73.582_41.327
41.35_-73.913,41.35,-73.913,Tallman Site,No Conclusion,7/29/2018:No Conclusion,-73.913_41.35
41.378_-74.678,41.378,-74.678,Gold Creek,No Conclusion,7/11/2016:No Conclusion,-74.678_41.378
41.385_-74.013,41.385,-74.013,Highland Brook and tribs,No Conclusion,08/20/2012:No Conclusion,-74.013_41.385
41.401_-74.092,41.401,-74.092,Baby Brook,No Conclusion,7/20/2016:No Conclusion,-74.092_41.401
41.404_-74.027,41.404,-74.027,Minor Tribs to West of Hudson,No Conclusion,07/29/2012:No Conclusion,-74.027_41.404
41.408_-73.56,41.408,-73.56,Unnamed stream,No Conclusion,7/23/2016:No Conclusion,-73.56_41.408
41.409_-74.073,41.409,-74.073,Moodna Creek,No Known Impact,09/22/2013:No Known Impact,-74.073_41.409
41.409_-74.373,41.409,-74.373,Minor Tribs to Middle Wallkill,No Conclusion,08/30/2013:No Conclusion,-74.373_41.409
41.413_-73.749,41.413,-73.749,Tribs of Secor and Kirk Lakes,No Conclusion,09/05/2013:No Conclusion,-73.749_41.413
41.415_-74.533,41.415,-74.533,"Indigot Creek, Upper, and tribs",No Known Impact,08/16/2013:No Known Impact,-74.533_41.415
41.417_-74.167,41.417,-74.167,Unnamed trib to Moodna Creek,Possibly Impaired,8/3/2016:Possibly Impaired,-74.167_41.417
41.419_-74.022,41.419,-74.022,Minor Tribs to West of Hudson,No Known Impact,07/07/2012:No Known Impact,-74.022_41.419
41.42_-74.027,41.42,-74.027,Minor Tribs to West of Hudson,No Known Impact,"08/05/2012:No Conclusion
08/14/2012:No Known Impact",-74.027_41.42
41.423_-73.558,41.423,-73.558,Salmons Daily Brook,No Conclusion,7/23/2016:No Conclusion,-73.558_41.423
41.43_-74.422,41.43,-74.422,Monhagen Brook,Possibly Impaired,9/13/2016:Possibly Impaired,-74.422_41.43
41.431_-74.201,41.431,-74.201,Cromline Creek,No Conclusion,7/26/2016:No Conclusion,-74.201_41.431
41.434_-73.654,41.434,-73.654,Middle Branch Croton River,No Conclusion,7/1/2016:No Conclusion,-73.654_41.434
41.443_-74.004,41.443,-74.004,Minor Tribs to West of Hudson,No Conclusion,"07/18/2013:No Conclusion
08/20/2012:No Conclusion",-74.004_41.443
41.446_-73.604,41.446,-73.604,Unnamed (Schoolhouse Br),No Conclusion,7/23/2016:No Conclusion,-73.604_41.446
41.447_-73.732,41.447,-73.732,West Branch Croton,No Conclusion,9/30/2016:No Conclusion,-73.732_41.447
41.459_-73.92,41.459,-73.92,Clove Creek,No Known Impact,09/30/2012:No Known Impact,-73.92_41.459
41.464_-73.694,41.464,-73.694,Horse Pound Brook,No Known Impact,"09/21/2012:No Known Impact
09/03/2012:No Conclusion",-73.694_41.464
41.471_-73.748,41.471,-73.748,"West Branch Croton R, Upper, and tribs",No Conclusion,08/22/2012:No Conclusion,-73.748_41.471
41.472_-73.787,41.472,-73.787,Tribs to Sagamore Lake,No Conclusion,09/07/2013:No Conclusion,-73.787_41.472
41.483_-74.086,41.483,-74.086,Silver Stream,Possibly Impaired,8/4/2016:Possibly Impaired,-74.086_41.483
41.484_-73.626,41.484,-73.626,Muddy Brook and tribs,No Conclusion,09/17/2013:No Conclusion,-73.626_41.484
41.486_-74.083,41.486,-74.083,Silver Stream,No Conclusion,8/4/2016:No Conclusion,-74.083_41.486
41.486_-74.088,41.486,-74.088,Silver Stream,Possibly Impaired,8/11/2016:Possibly Impaired,-74.088_41.486
41.486_-74.332,41.486,-74.332,"Milburn Creek, Upper, and tribs",No Conclusion,08/19/2013:No Conclusion,-74.332_41.486
41.486_-74.574,41.486,-74.574,Unnamed trib to Neversink,No Conclusion,09/20/2015:No Conclusion,-74.574_41.486
41.488_-74.013,41.488,-74.013,Quassaic Creek,No Conclusion,08/18/2013:No Conclusion,-74.013_41.488
41.49_-73.844,41.49,-73.844,Trout Creek,No Conclusion,09/22/2012:No Conclusion,-73.844_41.49
41.49_-74.622,41.49,-74.622,Minor Tribs to Middle Neversink,No Known Impact,07/29/2013:No Known Impact,-74.622_41.49
41.492_-74.622,41.492,-74.622,Minor Tribs to Middle Neversink,No Known Impact,07/25/2013:No Known Impact,-74.622_41.492
41.494_-73.546,41.494,-73.546,Haviland Hollow Br,No Conclusion,7/15/2017:No Conclusion,-73.546_41.494
41.495_-73.536,41.495,-73.536,Haviland Hollow Brook,No Known Impact,7/23/2016:No Known Impact,-73.536_41.495
41.495_-74.042,41.495,-74.042,"Quassaic Creek, Lower, and minor tribs",No Conclusion,09/16/2014:No Conclusion,-74.042_41.495
41.501_-74.073,41.501,-74.073,Patton Brook,No Conclusion,9/18/2017:No Conclusion,-74.073_41.501
41.502_-73.836,41.502,-73.836,Wiccopee Creek,No Conclusion,09/22/2012:No Conclusion,-73.836_41.502
41.502_-74.037,41.502,-74.037,Gidneytown Creek,No Conclusion,07/31/2014:No Conclusion,-74.037_41.502
41.503_-73.948,41.503,-73.948,Dry Brook,No Conclusion,7/6/2016:No Conclusion,-73.948_41.503
41.508_-73.586,41.508,-73.586,Stephens Brook,Possibly Impaired,"7/23/2016:Possibly Impaired
7/15/2017:No Conclusion",-73.586_41.508
41.51_-73.683,41.51,-73.683,Stump Pond Stream,No Known Impact,08/18/2013:No Known Impact,-73.683_41.51
41.511_-73.612,41.511,-73.612,Mill Brook,No Conclusion,7/23/2016:No Conclusion,-73.612_41.511
41.512_-73.617,41.512,-73.617,Muddy Brook and tribs,No Known Impact,09/17/2013:No Known Impact,-73.617_41.512
41.522_-74.46,41.522,-74.46,Shawangunk Kill,No Known Impact,7/5/2016:No Known Impact,-74.46_41.522
41.528_-74.006,41.528,-74.006,Minor Tribs to West of Hudson,No Known Impact,"09/20/2012:No Known Impact
09/06/2012:No Conclusion",-74.006_41.528
41.532_-74.062,41.532,-74.062,Quassaic Creek,No Conclusion,07/31/2014:No Conclusion,-74.062_41.532
41.534_-73.581,41.534,-73.581,Brady Brook,No Conclusion,7/23/2016:No Conclusion,-73.581_41.534
41.536_-73.581,41.536,-73.581,Brady Brook,No Conclusion,7/15/2017:No Conclusion,-73.581_41.536
41.538_-73.613,41.538,-73.613,Cushman Brook,No Conclusion,7/16/2017:No Conclusion,-73.613_41.538
41.538_-73.955,41.538,-73.955,Minor Tribs To East Of Hudson,No Conclusion,08/03/2022:No Conclusion,-73.955_41.538
41.539_-74.041,41.539,-74.041,Gidneytown Creek,Possibly Impaired,08/10/2012:Possibly Impaired,-74.041_41.539
41.545_-73.862,41.545,-73.862,Fishkill Creek,No Conclusion,09/22/2012:No Conclusion,-73.862_41.545
41.553_-74.044,41.553,-74.044,Gidneytown Creek,No Known Impact,8/11/2016:No Known Impact,-74.044_41.553
41.555_-74.43,41.555,-74.43,Shawangunk Kill,No Conclusion,7/5/2016:No Conclusion,-74.43_41.555
41.557_-74.045,41.557,-74.045,Gidneytown Creek,No Known Impact,08/10/2012:No Known Impact,-74.045_41.557
41.558_-74.158,41.558,-74.158,Tin Brook,No Known Impact,"09/06/2012:No Known Impact
09/20/2012:No Known Impact",-74.158_41.558
41.562_-73.6,41.562,-73.6,Purgatory Hill Br (EBCroton River),No Conclusion,"9/29/2019:No Conclusion
7/15/2017:No Conclusion",-73.6_41.562
41.565_-74.178,41.565,-74.178,Tin Brook,No Conclusion,2016:No Conclusion,-74.178_41.565
41.567_-73.614,41.567,-73.614,Swam River,No Conclusion,9/29/2019:No Conclusion,-73.614_41.567
41.568_-73.597,41.568,-73.597,T.P. Cemetery Brook,No Conclusion,7/23/2016:No Conclusion,-73.597_41.568
41.568_-73.615,41.568,-73.615,Murrow Brook (Swamp River 00),No Known Impact,7/15/2017:No Known Impact,-73.615_41.568
41.568_-73.912,41.568,-73.912,unnamed trib to Hughsonville,No Conclusion,7/2/2016:No Conclusion,-73.912_41.568
41.57_-74.285,41.57,-74.285,Dwaar Kill,No Known Impact,09/09/2013:No Known Impact,-74.285_41.57
41.572_-73.608,41.572,-73.608,Green Mountain Lake Brook,No Conclusion,7/15/2017:No Conclusion,-73.608_41.572
41.578_-73.802,41.578,-73.802,Fishkill Creek,Possibly Impaired,09/09/2012:Possibly Impaired,-73.802_41.578
41.581_-74.33,41.581,-74.33,Pakanasink Creek,No Conclusion,08/23/2013:No Conclusion,-74.33_41.581
41.582_-74.569,41.582,-74.569,Minor Tribs to Middle Neversink,No Known Impact,08/16/2013:No Known Impact,-74.569_41.582
41.585_-73.6,41.585,-73.6,West Mountain Brook (Weir Br),No Known Impact,"7/16/2017:No Known Impact
7/11/2016:No Conclusion",-73.6_41.585
41.585_-74.079,41.585,-74.079,Quassaic Creek,No Conclusion,"07/25/2013:No Conclusion
07/24/2013:No Conclusion",-74.079_41.585
41.588_-73.79,41.588,-73.79,Fishkill Creek,No Known Impact,09/14/2012:No Known Impact,-73.79_41.588
41.589_-73.584,41.589,-73.584,Hiller Brook at Hurds Corners,No Known Impact,"7/16/2017:No Known Impact
07/01/2014:No Conclusion",-73.584_41.589
41.593_-73.926,41.593,-73.926,"Wappingers Cr, Lower, and minor tribs",No Conclusion,07/02/2015:No Conclusion,-73.926_41.593
41.597_-74.486,41.597,-74.486,Willsey Brook and tribs,No Conclusion,09/20/2015:No Conclusion,-74.486_41.597
41.603_-74.08,41.603,-74.08,Quassaic Creek,Possibly Impaired,08/07/2013:Possibly Impaired,-74.08_41.603
41.604_-74.327,41.604,-74.327,Verkeerderkill,No Known Impact,7/27/2016:No Known Impact,-74.327_41.604
41.607_-74.074,41.607,-74.074,Quassaic Creek,No Conclusion,"08/07/2013:No Conclusion
9/20/2017:No Conclusion",-74.074_41.607
41.611_-73.747,41.611,-73.747,Sylvan Lake Outlet and tribs,No Conclusion,08/04/2013:No Conclusion,-73.747_41.611
41.617_-73.824,41.617,-73.824,Sprout Creek,No Conclusion,09/01/2015:No Conclusion,-73.824_41.617
41.621_-73.654,41.621,-73.654,"Gardner Hollow Brook, Upper, and tribs",No Conclusion,07/25/2013:No Conclusion,-73.654_41.621
41.625_-73.942,41.625,-73.942,Casper Creek,No Conclusion,07/19/2013:No Conclusion,-73.942_41.625
41.627_-74.816,41.627,-74.816,Hemp Meadow Brook,No Conclusion,9/10/2017:No Conclusion,-74.816_41.627
41.633_-74.776,41.633,-74.776,Kinne Brook,No Conclusion,7/10/2017:No Conclusion,-74.776_41.633
41.64_-74.447,41.64,-74.447,Homowak kill and tribs,No Known Impact,7/14/2016:No Known Impact,-74.447_41.64
41.644_-74.442,41.644,-74.442,Delaware and Hudson Canal,No Conclusion,07/20/2013:No Conclusion,-74.442_41.644
41.648_-73.593,41.648,-73.593,Burton Brook,No Conclusion,9/29/2019:No Conclusion,-73.593_41.648
41.648_-74.264,41.648,-74.264,Dwaarkill,No Known Impact,7/27/2016:No Known Impact,-74.264_41.648
41.656_-73.536,41.656,-73.536,Tenmile River,No Known Impact,8/3/2016:No Known Impact,-73.536_41.656
41.656_-73.537,41.656,-73.537,Tenmile River,No Known Impact,07/01/2014:No Known Impact,-73.537_41.656
41.66_-74.808,41.66,-74.808,Unknown,Possibly Impaired,7/17/2017:Possibly Impaired,-74.808_41.66
41.665_-74.479,41.665,-74.479,Sandburg Creek,No Known Impact,"07/25/2013:No Known Impact
07/20/2013:No Conclusion",-74.479_41.665
41.665_-74.814,41.665,-74.814,White Lake Brook,No Conclusion,7/3/2017:No Conclusion,-74.814_41.665
41.676_-74.263,41.676,-74.263,Palmaghatt Kill,No Known Impact,08/22/2013:No Known Impact,-74.263_41.676
41.682_-73.893,41.682,-73.893,Casperkill,No Conclusion,8/9/2016:No Conclusion,-73.893_41.682
41.684_-73.866,41.684,-73.866,Wappinger Creek,No Known Impact,08/24/2013:No Known Impact,-73.866_41.684
41.686_-74.165,41.686,-74.165,Wallkill River,Possibly Impaired,8/11/2016:Possibly Impaired,-74.165_41.686
41.688_-74.173,41.688,-74.173,Shawangunk Kill,No Known Impact,8/11/2016:No Known Impact,-74.173_41.688
41.696_-74.101,41.696,-74.101,Platte Kill and tribs,No Conclusion,"09/20/2012:No Conclusion
08/31/2012:No Conclusion
09/23/2012:No Conclusion",-74.101_41.696
41.699_-73.866,41.699,-73.866,Wappinger Creek,No Conclusion,08/24/2013:No Conclusion,-73.866_41.699
41.701_-73.889,41.701,-73.889,Casper Creek,Possibly Impaired,09/17/2014:Possibly Impaired,-73.889_41.701
41.707_-73.924,41.707,-73.924,Fall Kill,No Conclusion,8/9/2016:No Conclusion,-73.924_41.707
41.709_-73.933,41.709,-73.933,Fall Kill,No Conclusion,8/9/2016:No Conclusion,-73.933_41.709
41.709_-73.939,41.709,-73.939,Fall Kill,No Conclusion,09/10/2014:No Conclusion,-73.939_41.709
41.717_-74.012,41.717,-74.012,"Black Creek, Middle, and tribs",No Conclusion,08/23/2013:No Conclusion,-74.012_41.717
41.72_-73.957,41.72,-73.957,Twaalfskill Creek,No Conclusion,7/1/2016:No Conclusion,-73.957_41.72
41.72_-74.392,41.72,-74.392,Beer Kill,No Known Impact,07/27/2013:No Known Impact,-74.392_41.72
41.724_-74.458,41.724,-74.458,West Branch of the Beerkill,No Known Impact,8/28/2016:No Known Impact,-74.458_41.724
41.725_-74.105,41.725,-74.105,Platte Kill and tribs,No Known Impact,09/17/2012:No Known Impact,-74.105_41.725
41.728_-73.585,41.728,-73.585,Wells Brook,No Known Impact,8/3/2016:No Known Impact,-73.585_41.728
41.728_-73.586,41.728,-73.586,Wells Brook,No Known Impact,09/23/2014:No Known Impact,-73.586_41.728
41.73_-73.972,41.73,-73.972,Twaalfskill Creek,No Known Impact,7/2/2016:No Known Impact,-73.972_41.73
41.735_-73.576,41.735,-73.576,Wells Brook,Possibly Impaired,7/27/2016:Possibly Impaired,-73.576_41.735
41.735_-73.581,41.735,-73.581,Wells Brook,No Known Impact,09/19/2014:No Known Impact,-73.581_41.735
41.735_-74.234,41.735,-74.234,Peters Kill,No Conclusion,8/22/2017:No Conclusion,-74.234_41.735
41.737_-73.571,41.737,-73.571,Tenmile River,No Conclusion,"7/212/2016:No Conclusion
7/21/2016:No Conclusion",-73.571_41.737
41.738_-74.377,41.738,-74.377,Rondout Creek,No Known Impact,08/11/2013:No Known Impact,-74.377_41.738
41.739_-73.585,41.739,-73.585,Stone Church Brook,No Known Impact,09/19/2014:No Known Impact,-73.585_41.739
41.74_-74.664,41.74,-74.664,East Mongaup River,No Conclusion,"9/26/2016:No Conclusion
9/15/2017:No Conclusion",-74.664_41.74
41.741_-73.827,41.741,-73.827,Wappinger Creek,No Known Impact,09/17/2014:No Known Impact,-73.827_41.741
41.754_-74.073,41.754,-74.073,Millbrook Stream (Trib 13),Possibly Impaired,9/20/2016:Possibly Impaired,-74.073_41.754
41.757_-74.357,41.757,-74.357,VerNooy Kill,No Conclusion,7/7/2016:No Conclusion,-74.357_41.757
41.762_-73.9,41.762,-73.9,Fall Kill,No Conclusion,09/24/2012:No Conclusion,-73.9_41.762
41.763_-74.333,41.763,-74.333,Rondout Creek,No Known Impact,09/25/2015:No Known Impact,-74.333_41.763
41.765_-74.941,41.765,-74.941,East Branch Callicoon Creek,No Known Impact,08/20/2013:No Known Impact,-74.941_41.765
41.77_-74.311,41.77,-74.311,Rondout Creek,No Conclusion,09/20/2015:No Conclusion,-74.311_41.77
41.774_-74.174,41.774,-74.174,Coxing Kill,No Conclusion,8/20/2016:No Conclusion,-74.174_41.774
41.774_-74.296,41.774,-74.296,Rondout Creek,No Conclusion,09/28/2014:No Conclusion,-74.296_41.774
41.775_-74.098,41.775,-74.098,Kleine Kill,Possibly Impaired,08/14/2013:Possibly Impaired,-74.098_41.775
41.776_-74.322,41.776,-74.322,Minor Tribs to Middle Rondout Creek,No Conclusion,08/22/2013:No Conclusion,-74.322_41.776
41.778_-74.225,41.778,-74.225,Stony Kill,No Known Impact,09/20/2015:No Known Impact,-74.225_41.778
41.787_-73.923,41.787,-73.923,Crum Elbow Creek,Possibly Impaired,9/11/2016:Possibly Impaired,-73.923_41.787
41.788_-73.923,41.788,-73.923,Crum Elbow Creek,No Conclusion,7/20/2018:No Conclusion,-73.923_41.788
41.792_-73.726,41.792,-73.726,East Branch Wappinger Creek,No Known Impact,07/02/2012:No Known Impact,-73.726_41.792
41.794_-74.18,41.794,-74.18,Rondout Creek,No Conclusion,09/20/2015:No Conclusion,-74.18_41.794
41.797_-74.247,41.797,-74.247,Rochester Creek and minor tribs,No Known Impact,09/15/2012:No Known Impact,-74.247_41.797
41.799_-74.213,41.799,-74.213,North Peterskill,No Conclusion,11/3/2017:No Conclusion,-74.213_41.799
41.81_-74.374,41.81,-74.374,VerNooy Kill,No Conclusion,7/7/2016:No Conclusion,-74.374_41.81
41.814_-73.559,41.814,-73.559,Wassaic Creek and tribs,No Known Impact,07/02/2015:No Known Impact,-73.559_41.814
41.821_-73.963,41.821,-73.963,Black Creek,No Conclusion,8/31/2017:No Conclusion,-73.963_41.821
41.828_-73.566,41.828,-73.566,Wassaic Creek and tribs,No Known Impact,07/06/2015:No Known Impact,-73.566_41.828
41.832_-74.032,41.832,-74.032,Swarte Kill,No Known Impact,7/12/2016:No Known Impact,-74.032_41.832
41.835_-73.566,41.835,-73.566,Wassaic Creek and tribs,No Known Impact,07/08/2015:No Known Impact,-73.566_41.835
41.836_-73.567,41.836,-73.567,Wassaic Creek and tribs,No Known Impact,07/08/2015:No Known Impact,-73.567_41.836
41.842_-73.561,41.842,-73.561,Wassaic Creek and tribs,No Conclusion,07/07/2015:No Conclusion,-73.561_41.842
41.843_-74.086,41.843,-74.086,Rondout Creek,No Known Impact,09/20/2015:No Known Impact,-74.086_41.843
41.844_-73.563,41.844,-73.563,Wassaic Creek and tribs,No Conclusion,07/06/2015:No Conclusion,-73.563_41.844
41.844_-74.076,41.844,-74.076,Rondout Creek,Possibly Impaired,"9/7/2017:Possibly Impaired
9/26/2016:No Conclusion
9/30/2019:No Conclusion",-74.076_41.844
41.853_-73.876,41.853,-73.876,Fallsburg Creek,No Conclusion,7/31/2019:No Conclusion,-73.876_41.853
41.857_-73.514,41.857,-73.514,Webatuck Creek,No Conclusion,07/30/2014:No Conclusion,-73.514_41.857
41.857_-73.885,41.857,-73.885,Crum Elbow Creek,No Conclusion,7/20/2018:No Conclusion,-73.885_41.857
41.867_-73.556,41.867,-73.556,Wassaic Creek and tribs,No Known Impact,07/07/2015:No Known Impact,-73.556_41.867
41.868_-73.502,41.868,-73.502,Webatuck Creek and tribs,No Conclusion,07/08/2014:No Conclusion,-73.502_41.868
41.873_-75.017,41.873,-75.017,Basket Brook,No Conclusion,09/09/2022:No Conclusion,-75.017_41.873
41.874_-75.07,41.874,-75.07,Basket Brook,No Known Impact,09/09/2022:No Known Impact,-75.07_41.874
41.882_-73.927,41.882,-73.927,Landsmankill,No Conclusion,7/31/2019:No Conclusion,-73.927_41.882
41.883_-74.159,41.883,-74.159,"Esopus Creek, Middle, and minor tribs",No Conclusion,08/22/2012:No Conclusion,-74.159_41.883
41.903_-74.163,41.903,-74.163,Esopus Creek,No Conclusion,07/23/2013:No Conclusion,-74.163_41.903
41.904_-74.164,41.904,-74.164,"Esopus Creek, Middle, and minor tribs",No Known Impact,07/30/2013:No Known Impact,-74.164_41.904
41.904_74.813,41.904,74.813,Willow Moc,No Known Impact,9/23/2018:No Known Impact,74.813_41.904
41.91_-74.006,41.91,-74.006,Twaalfskill Brook,No Conclusion,9/21/2017:No Conclusion,-74.006_41.91
41.928_-73.895,41.928,-73.895,Landsmankill,No Known Impact,9/30/2016:No Known Impact,-73.895_41.928
41.944_-73.602,41.944,-73.602,Bean River,No Known Impact,8/20/2016:No Known Impact,-73.602_41.944
41.949_-73.511,41.949,-73.511,Webatuck Creek,No Conclusion,07/08/2014:No Conclusion,-73.511_41.949
41.979_-73.963,41.979,-73.963,Minor Tribs to West of Hudson,Possibly Impaired,08/14/2013:Possibly Impaired,-73.963_41.979
41.984_-73.914,41.984,-73.914,Mudder Kill,No Conclusion,07/07/2012:No Conclusion,-73.914_41.984
42.001_-76.558,42.001,-76.558,Chemung River,No Known Impact,09/15/2015:No Known Impact,-76.558_42.001
42.007_-78.776,42.007,-78.776,Quaker Run and tribs,No Conclusion,07/12/2014:No Conclusion,-78.776_42.007
42.011_-75.789,42.011,-75.789,Little Snake,No Conclusion,9/28/2017:No Conclusion,-75.789_42.011
42.016_-75.133,42.016,-75.133,Morrison Brook,No Conclusion,09/14/2013:No Conclusion,-75.133_42.016
42.017_-76.723,42.017,-76.723,Chemung River,No Conclusion,8/15/2017:No Conclusion,-76.723_42.017
42.019_-73.978,42.019,-73.978,Minor Tribs to Lower Esopus Creek,No Known Impact,08/14/2013:No Known Impact,-73.978_42.019
42.02_-74.268,42.02,-74.268,Little Beaver Kill,No Known Impact,"09/07/2012:No Conclusion
09/14/2012:No Known Impact",-74.268_42.02
42.025_-76.623,42.025,-76.623,Wyncood Creek,No Conclusion,10/3/2017:No Conclusion,-76.623_42.025
42.026_-76.524,42.026,-76.524,Cayuta Creek,No Known Impact,09/14/2015:No Known Impact,-76.524_42.026
42.027_-75.799,42.027,-75.799,Little Snake,No Conclusion,9/28/2017:No Conclusion,-75.799_42.027
42.027_-79.286,42.027,-79.286,Conewango Creek,No Known Impact,09/06/2015:No Known Impact,-79.286_42.027
42.029_-77.933,42.029,-77.933,Orebed Creek,No Conclusion,08/17/2013:No Conclusion,-77.933_42.029
42.03_-75.805,42.03,-75.805,Little Snake Creek,dry,7/20/2016:dry,-75.805_42.03
42.031_-74.37,42.031,-74.37,Woodland Valley Creek,No Conclusion,9/11/2017:No Conclusion,-74.37_42.031
42.034_-74.368,42.034,-74.368,Woodland Valley Creek,No Known Impact,9/11/2017:No Known Impact,-74.368_42.034
42.041_-73.644,42.041,-73.644,Roeliff Jansen Kill,No Conclusion,9/18/2016:No Conclusion,-73.644_42.041
42.045_-73.913,42.045,-73.913,"Stony Creek, Lower, and tribs",No Conclusion,07/02/2012:No Conclusion,-73.913_42.045
42.049_-77.93,42.049,-77.93,Marsh Creek,No Known Impact,08/14/2013:No Known Impact,-77.93_42.049
42.059_-73.6,42.059,-73.6,Roeliff Jansen Kill,No Known Impact,9/18/2016:No Known Impact,-73.6_42.059
42.059_-76.736,42.059,-76.736,Baldwin Creek,No Conclusion,"7/17/2018:No Conclusion
10/3/2017:No Conclusion",-76.736_42.059
42.062_-74.157,42.062,-74.157,Saw Kill,No Known Impact,9/22/2016:No Known Impact,-74.157_42.062
42.062_-74.844,42.062,-74.844,Gulf Brook,No Conclusion,08/17/2013:No Conclusion,-74.844_42.062
42.067_-74.16,42.067,-74.16,Sawkill WIN H-171-17,No Conclusion,9/25/2016:No Conclusion,-74.16_42.067
42.071_-76.775,42.071,-76.775,Chemung River,No Conclusion,7/13/2016:No Conclusion,-76.775_42.071
42.074_-76.94,42.074,-76.94,Hendy Creek,No Conclusion,7/17/2018:No Conclusion,-76.94_42.074
42.075_-74.126,42.075,-74.126,"Saw Kill, Upper, adn tribs",No Conclusion,09/26/2015:No Conclusion,-74.126_42.075
42.075_-75.622,42.075,-75.622,Hotchkiss Creek,No Conclusion,9/27/2016:No Conclusion,-75.622_42.075
42.078_-74.336,42.078,-74.336,Woodland Creek,No Known Impact,"08/16/2012:No Known Impact
08/31/2012:No Known Impact",-74.336_42.078
42.08_-73.938,42.08,-73.938,Sawyerkill Win H-172,Possibly Impaired,9/26/2015:Possibly Impaired,-73.938_42.08
42.08_-75.64,42.08,-75.64,"Occanum Creek, Windsor",No Conclusion,9/27/2016:No Conclusion,-75.64_42.08
42.081_-74.333,42.081,-74.333,Woodland Creek,No Conclusion,09/14/2012:No Conclusion,-74.333_42.081
42.081_-76.78,42.081,-76.78,Chemung River,Possibly Impaired,"8/15/2017:No Conclusion
7/13/2016:Possibly Impaired",-76.78_42.081
42.083_-79.225,42.083,-79.225,Allen Park Creek,No Conclusion,8/2/2018:No Conclusion,-79.225_42.083
42.083_-79.686,42.083,-79.686,French Creek,No Conclusion,09/08/2014:No Conclusion,-79.686_42.083
42.086_-74.179,42.086,-74.179,Mink Hollow,No Known Impact,9/22/2016:No Known Impact,-74.179_42.086
42.086_-76.691,42.086,-76.691,wynkoop creek,No Conclusion,8/17/2016:No Conclusion,-76.691_42.086
42.087_-76.866,42.087,-76.866,Chemung River,No Known Impact,8/16/2017:No Known Impact,-76.866_42.087
